Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.019,0,0,0,0,4e-4,0,0,0,0.0025,4e-4,0,0,0,8e-4,0,0.0019,2e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.21256597,0,0,0,0,0,0.0252,0,0,0,0,0,0,0,9e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187,0,0,0
0.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0152,0,0,0,0,0.0121,0,0,0,0.0182,0.0142,0,0,0.0011,0,0,0.0122,0,0,0.0029
0.0148,0,0,0,0,0.0095,0,0,0,0,0.0129,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0135,0,0,0,0,0.0099,3e-4,0,0,0,0,0,0,0,0,0,0.018,7e-4,0,0
0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0193,0,0,0,0,0,0,0,0,0.0201,0,0,0,0,0,0,0.0194,0,0,8e-4
0.0186,0,0,0,0,0.0053,0,0,0,0.0197,0,0,0,5e-4,0,0,0.0124,4e-4,0,0.0017
0.0166,0,0,0.26621875,0,0.0083,0,0,0,0.0247,0,0,0,0,0,0,0.0167,0,0,0
0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
