Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0459,-1,0.0075,0.41247649,1e-4,0.0222,0.0016,0,-1,-1,0.034,6e-4,0.0051,0.0073,0.9869,0,0.0683,0.0035,0.0058,0.0094
0.0279,0.0014,0.0142,-1,0.0015,0.0247,0.0049,4e-4,0.0098,0.1438,0.0534,0.0021,0.0061,-1,1.4704,0,0.0435,0.0026,0.0052,0.0325
0.0215,6e-4,0.0073,0.36294271,7e-4,0.0178,0.0013,0.001,0.0016,0.04,0.0466,0,0.0023,0.0068,1.1127,0,0.0247,0.0018,0.0021,0.0117
0.0334,0.0017,0.0102,0.42956597,0,0.0199,0.0036,-1,-1,0.0547,0.0578,2e-4,0.0048,0.0044,-1,0.001,0.0381,0.0016,0.0043,0.0139
0.0529,0,0.0228,0.98266699,0,0.0244,-1,-1,0.0032,0.0535,0.0368,3e-4,0.0027,0.0068,1.4964,0,0.0361,-1,0.0042,0.0182
0.0352,0,0.001,0.33749861,0.001,0.0211,0.0063,1e-4,0.0041,0.0524,0.0307,6e-4,0.0021,0.0112,-1,-1,-1,0.0026,-1,0.0171
0.025,0.0023,0.0074,0.60646285,0.0026,0.0292,0.0028,9e-4,0,0.0338,0.0296,0,0,0.012,0.8199,0.0014,-1,0.0027,0.0027,0.0086
0.0325,8e-4,0.0136,0.31988542,-1,0.0389,0.0075,-1,0,0.0556,0.0435,0,0.0031,0.0054,0.7802,6e-4,0.0746,0.004,0.0029,0.015
0.0491,0,-1,0.53444097,0,0.0394,0.0157,3e-4,-1,0.0504,0.0406,0,0.0047,0.0086,0.8059,0,-1,0.0028,0.0056,0.0075
0.0261,0.0015,0.0068,0.26612062,-1,0.0254,0.0098,5e-4,-1,-1,0.0382,0,0.0015,0.0084,0.43120000000000003,0,0.0667,0.0027,0.003,0.0078
0.0827,3e-4,0,0.51769653,0.002,0.027,0.015,5e-4,0.0041,0.0605,0.0575,0,0.0073,0.0054,0.7448,0,-1,0.0028,0.0088,-1
0.0261,0.0015,0,0.6706184,-1,0.0226,0.0045,3e-4,0.0036,0.0363,0.0391,0,0.0067,0.0058,0.677,0,0.028,-1,-1,0.0065
